"datePulled","code","shortName","collectionName","asset","deviveType","primOwner","sysAdmin","rmfAction","isso","ccbSAActions","other","lastTouched","stigs","benchmarks","assessed","submitted","accepted","rejected","cat3","cat2","cat1"
"2024-02-14","10","NDNSA Site","NP_C10 NDNSA_12412_Site","NUWC Newport","","","","","","","","48 d","2","Traditional_Security_Checklist Enclave_-_Zone_D","100.00%","100.00%","100.00%","0.00%","0","2","1"
"2024-02-14","10","ASI","NP_C10-ASI PL_1838_DBS","C27DWEBNWPT03","","VonWinkleK","VonWinkleK_$","","","","duplicate","134 d","5","MS_Dot_Net_Framework IE_11_STIG IIS_8-5_Server_STIG Windows_2012_MS_STIG Splunk_Enterprise_7-x_for_Windows_STIG","98.04%","98.04%","91.79%","0.00%","2","20","0"
"2024-02-14","10","ASI","NP_C10-ASI_1838_DBS","ASI_NPRI54WEB53 ","","MasseyB","MasseyB_$","","","","","84 d","1","Application_Security_Development_STIG","100.00%","100.00%","2.45%","0.00%","0","2","0"
"2024-02-14","10","ASI","NP_C10-ASI_1838_DBS","C27DATNWPT59","","MagnerGR","MagnerG_$","","","","","86 d","7","MS_Dot_Net_Framework VMW_vSphere_7-0_Virtual_Machine_STIG Splunk_Enterprise_7-x_for_Windows_STIG Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security MS_Defender_Antivirus IE_11_STIG","100.00%","100.00%","100.00%","0.00%","1","2","0"
"2024-02-14","10","ASI","NP_C10-ASI_1838_DBS","C27DDATNWPT06","","MagnerGR","MagnerG_$","","","","","86 d","7","IE_11_STIG MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Firewall_with_Advanced_Security Windows_Server_2019_STIG Splunk_Enterprise_7-x_for_Windows_STIG VMW_vSphere_7-0_Virtual_Machine_STIG","100.00%","100.00%","100.00%","0.00%","1","3","0"
"2024-02-14","10","ASI","NP_C10-ASI_1838_DBS","NPRI54WEB15","","AndradeJ","HelgesenJ_$","","","","","84 d","7","MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Firewall_with_Advanced_Security Windows_Server_2019_STIG Splunk_Enterprise_7-x_for_Windows_STIG VMW_vSphere_7-0_Virtual_Machine_STIG IIS_10-0_Server_STIG","100.00%","100.00%","100.00%","0.00%","0","5","0"
"2024-02-14","10","ASI","NP_C10-ASI_1838_DBS","NPRI54WEB15-CORPAPPS-NA","DBWEB","AndradeJ","PelleteierD_$","","","","","84 d","1","IIS_10-0_Site_STIG","100.00%","100.00%","100.00%","0.00%","0","3","0"
"2024-02-14","10","ASI","NP_C10-ASI_1838_DBS","NPRI54WEB53","","VonWinkleK","VonWinkleK_$","","","","","84 d","8","MS_Defender_Antivirus VMW_vSphere_7-0_Virtual_Machine_STIG Splunk_Enterprise_7-x_for_Windows_STIG Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security MS_Dot_Net_Framework IIS_10-0_Server_STIG IE_11_STIG","100.00%","100.00%","100.00%","0.00%","1","5","0"
"2024-02-14","10","ASI","NP_C10-ASI_1838_DBS","NPRI54WEB53-CORPAPPS-NA","","VonWinkleK","","","","","","82 d","1","IIS_10-0_Site_STIG","100.00%","100.00%","100.00%","0.00%","0","3","0"
"2024-02-14","10","ASI","NP_C10-ASI_1838_DBS","Oracle-FINDB","DBWEB","MagnerGR","MagnerG_$","","","","","3 h","1","Oracle_Database_12c_STIG","100.00%","100.00%","100.00%","0.00%","0","3","0"
